question,answer,category,hospital
Does Kenyatta National Hospital do thyroid test?,"Yes, Kenyatta National Hospital laboratory provides thyroid test with accurate results and quick turnaround times using modern equipment.",laboratory_tests,kenyatta_national
How long do thyroid test results take at Kenyatta National Hospital?,Thyroid Test results at Kenyatta National Hospital are typically available within 24-48 hours. Urgent tests may be processed faster when needed.,lab_results_time,kenyatta_national
Does Nairobi Hospital do liver function test?,"Yes, Nairobi Hospital laboratory provides liver function test with accurate results and quick turnaround times using modern equipment.",laboratory_tests,nairobi_hospital
How long do liver function test results take at Nairobi Hospital?,Liver Function Test results at Nairobi Hospital are typically available within 24-48 hours. Urgent tests may be processed faster when needed.,lab_results_time,nairobi_hospital
Does Kenyatta National Hospital do liver function test?,"Yes, Kenyatta National Hospital laboratory provides liver function test with accurate results and quick turnaround times using modern equipment.",laboratory_tests,kenyatta_national
How long do liver function test results take at Kenyatta National Hospital?,Liver Function Test results at Kenyatta National Hospital are typically available within 24-48 hours. Urgent tests may be processed faster when needed.,lab_results_time,kenyatta_national
Does Nairobi Hospital do kidney function test?,"Yes, Nairobi Hospital laboratory provides kidney function test with accurate results and quick turnaround times using modern equipment.",laboratory_tests,nairobi_hospital
How long do kidney function test results take at Nairobi Hospital?,Kidney Function Test results at Nairobi Hospital are typically available within 24-48 hours. Urgent tests may be processed faster when needed.,lab_results_time,nairobi_hospital
Does Kenyatta National Hospital do kidney function test?,"Yes, Kenyatta National Hospital laboratory provides kidney function test with accurate results and quick turnaround times using modern equipment.",laboratory_tests,kenyatta_national
How long do kidney function test results take at Kenyatta National Hospital?,Kidney Function Test results at Kenyatta National Hospital are typically available within 24-48 hours. Urgent tests may be processed faster when needed.,lab_results_time,kenyatta_national
Does Nairobi Hospital do cardiac markers?,"Yes, Nairobi Hospital laboratory provides cardiac markers with accurate results and quick turnaround times using modern equipment.",laboratory_tests,nairobi_hospital
How long do cardiac markers results take at Nairobi Hospital?,Cardiac Markers results at Nairobi Hospital are typically available within 24-48 hours. Urgent tests may be processed faster when needed.,lab_results_time,nairobi_hospital
Does Kenyatta National Hospital do cardiac markers?,"Yes, Kenyatta National Hospital laboratory provides cardiac markers with accurate results and quick turnaround times using modern equipment.",laboratory_tests,kenyatta_national
How long do cardiac markers results take at Kenyatta National Hospital?,Cardiac Markers results at Kenyatta National Hospital are typically available within 24-48 hours. Urgent tests may be processed faster when needed.,lab_results_time,kenyatta_national
Does Nairobi Hospital do tumor markers?,"Yes, Nairobi Hospital laboratory provides tumor markers with accurate results and quick turnaround times using modern equipment.",laboratory_tests,nairobi_hospital
How long do tumor markers results take at Nairobi Hospital?,Tumor Markers results at Nairobi Hospital are typically available within 24-48 hours. Urgent tests may be processed faster when needed.,lab_results_time,nairobi_hospital
Does Kenyatta National Hospital do tumor markers?,"Yes, Kenyatta National Hospital laboratory provides tumor markers with accurate results and quick turnaround times using modern equipment.",laboratory_tests,kenyatta_national
How long do tumor markers results take at Kenyatta National Hospital?,Tumor Markers results at Kenyatta National Hospital are typically available within 24-48 hours. Urgent tests may be processed faster when needed.,lab_results_time,kenyatta_national
Does Nairobi Hospital do hormone tests?,"Yes, Nairobi Hospital laboratory provides hormone tests with accurate results and quick turnaround times using modern equipment.",laboratory_tests,nairobi_hospital
How long do hormone tests results take at Nairobi Hospital?,Hormone Tests results at Nairobi Hospital are typically available within 24-48 hours. Urgent tests may be processed faster when needed.,lab_results_time,nairobi_hospital
Does Kenyatta National Hospital do hormone tests?,"Yes, Kenyatta National Hospital laboratory provides hormone tests with accurate results and quick turnaround times using modern equipment.",laboratory_tests,kenyatta_national
How long do hormone tests results take at Kenyatta National Hospital?,Hormone Tests results at Kenyatta National Hospital are typically available within 24-48 hours. Urgent tests may be processed faster when needed.,lab_results_time,kenyatta_national
Does Nairobi Hospital do allergy tests?,"Yes, Nairobi Hospital laboratory provides allergy tests with accurate results and quick turnaround times using modern equipment.",laboratory_tests,nairobi_hospital
How long do allergy tests results take at Nairobi Hospital?,Allergy Tests results at Nairobi Hospital are typically available within 24-48 hours. Urgent tests may be processed faster when needed.,lab_results_time,nairobi_hospital
Does Kenyatta National Hospital do allergy tests?,"Yes, Kenyatta National Hospital laboratory provides allergy tests with accurate results and quick turnaround times using modern equipment.",laboratory_tests,kenyatta_national
How long do allergy tests results take at Kenyatta National Hospital?,Allergy Tests results at Kenyatta National Hospital are typically available within 24-48 hours. Urgent tests may be processed faster when needed.,lab_results_time,kenyatta_national
What are the laboratory hours at Nairobi Hospital?,The laboratory at Nairobi Hospital typically operates from 6:00 AM to 6:00 PM on weekdays. Emergency lab services are available 24/7.,lab_hours,nairobi_hospital
